spamorham,label,sms
spam,1,"প্রিয় গ্রাহক, আপনার একাউন্ট সহজে লগইন করতে ক্লিক করুন: [লিঙ্ক] আপনার ব্যাংকের ট্রান্সেকশন চেক করুন।"
spam,1,"আপনার অ্যাকাউন্ট লগইন করতে প্রয়োজন হলে এই লিঙ্কে ক্লিক করুন: [লিঙ্ক] ধন্যবাদ!
(Click this link to login to your account if needed: [Link] Thank you!)"
spam,1,আপনার প্রোফাইল আপডেট করতে এই লিঙ্কে ক্লিক করুন: [লিঙ্ক] ধন্যবাদ।
spam,1,আপনার ব্যাংক একাউন্টে সুরক্ষিত লগইন করতে ক্লিক করুন: [লিঙ্ক] অনুরোধ করছি দ্রুত লগইন করুন।
spam,1,আপনার সিমের ডাটা সেটিং আপডেট করুন। ক্লিক করুন: [লিঙ্ক] ধন্যবাদ।
spam,1,"প্রিয় গ্রাহক, আপনার ব্যাংক একাউন্ট লগইন করতে ক্লিক করুন: [লিঙ্ক] ধন্যবাদ"
spam,1,এই লিঙ্কে ক্লিক করুন আপনার অ্যাকাউন্ট লগইন করতে: [লিঙ্ক] ধন্যবাদ।
spam,1,আপনার ব্যাংক অ্যাকাউন্ট পরীক্ষা করতে ক্লিক করুন: [লিঙ্ক] আপনার সুরক্ষিততা গুরুত্বপূর্ণ।
spam,1,"প্রিয় গ্রাহক, আপনার ব্যাংক একাউন্টে লগইন করতে এই লিঙ্কে ক্লিক করুন: [লিঙ্ক] ধন্যবাদ।"
spam,1,আপনার অ্যাকাউন্ট সুরক্ষিতভাবে লগইন করতে এই লিঙ্কে ক্লিক করুন: [www.hack.com] ধন্যবাদ।
spam,1,আপনার প্রোফাইল আপডেট করতে এই লিঙ্কে ক্লিক করুন: [www.access.com] ধন্যবাদ।
spam,1,আপনার ব্যাংক একাউন্টে লগইন করতে এই লিঙ্কে ক্লিক করুন: [লিঙ্ক] ধন্যবাদ!
ham,0,কিরে তুই এখনো জেগে আছিস
ham,0,আজকের রেসিপি চিকেন কড়াই 
ham,0,আম্মু আজকে বাসায় 
ham,0,তুমি তো জানো আমি কেমন
ham,0,অভিনন্দন! ফ্রি- মিসড কল এলার্ট সার্ভিসটি সফলভাবে চালু হয়েছে। এলার্ট পেতে আপনার নম্বরটি ২২৬২২-এ ডাইভার্ট করা হয়েছে। সার্ভিসটি ম্যানেজ করতে ডায়াল *২২৬২২#
spam,1,"নাভানায় প্লট কিনুন।পূর্বাচলের ঠিক পাশেই উঁচু ও নিস্কন্টক জমিতে ৩,৫ ও ১০ কাঠার প্লট বিক্রয় চলছে ,রয়েছে ৬০ টি কিস্তির সুবিধা ০১৮৪৭২১৪০২০"
spam,1,অভিনন্দন আপনি পূর্বাচলে একটি ফ্লাট জিতেছেন এর জন্য আমাদের নাম্বারে যোগাযোগ করুন।
spam,1,পার্ট টাইম জবের জন্য আমাদের সাথে যোগাযোগ করুন এখানে থাকছে কোন পূর্ব অভিজ্ঞতা ছাড়াই কাজের সুযোগ।
spam ,1,ফ্রি টিকিট পেতে আমাদের পেইজে ভিজিট করুন।
spam,1,প্রতিদিন বিভিন্ন চ্যানেলের দারুন সব অনুষ্ঠানের সময়সূচি পেতে *21234*1*1# ডায়াল করে টিভি শিডিউল সার্ভিসটি চালু করুন । চার্জ ১.৩৩ টাকা/দিন
ham,0,"৭জিবি ১৬০টাকা, মেয়াদ ৩০দিন। নিতে ৪-ডিসেম্বর এর মধ্যে ডায়াল *১২১*৫১৪৬#"
spam,1,প্রিয় স্টুডেন্ট তোমাদের উপবৃত্তির টাকা দেয়া হচ্ছে 4200 যোগাযোগ 01889055175 এর সময় সকাল ৮টা থেকে রাত ৮ টা পযর্ন্ত
spam,1,আসুন imo-তে ভিডিও চ্যাট ও টেক্সট করি! বিনামূল্যের অ্যাপটা নিয়ে নিন https://n7265.app.goo.gl/pGuk#-4-1
spam ,1,অভিনন্দন আপনি ১৫ হাজার টাকা লটারি জিতেছেন টাকাডি পেতে আমাদের এই নাম্বারে যোগাযোগ করুন ০১৭১১১১৬৭৯৪.
ham,0,শুধুমাত্র মাইজিপি আ্যপে পাবেন আপনার পছন্দের প্যাকে ১০% ইন্টারনেট বোনাস। বোনাসসহ ইন্টারনেট প্যাক কিনতে ভিজিট করুন  https://mygp.li/1O
ham,0,আগামী  ৩০ অক্টো থেকে প্রতিদিন প্রতি সপ্তাহে এপেক্স এর সকল আউটলেটে সর্বোচ্চ লেডিস পণ্যের বিলে থাকছে আকর্ষণীয় উপহার | শর্ত প্রযোজ্য
spam,1,চাকরীতে ভাল করার জন্য প্রয়োজনীয় সব উপায় এবং টিপস প্রতিদিন SMS এ পেতে এখনই ডায়াল করুন *2580*3*1# নাম্বারে। রিনিউয়ালসহ মাত্র ২.৫৫ টাকা/দিন| শর্ত প্রযোজ্য
spam,1,"আপনি যদি একজন গাড়ি/মোটরবাইক এর ব্যাবহারকারী অথবা মালিক হন তাহলে  কল করুন 

01887002002
StopAd? SMS RVTS to 21242"
spam,1,পূর্ব অভিজ্ঞতা ছাড়াই আপনি পাচ্ছেন স্বপ্নের চাকরি এখনই এই নাম্বারে যোগাযোগ করুন ০১৯১২১২১২৫০
ham ,0,আজ কি মেট্রো রেল চলে?
ham,0,হ্যাঁ শুক্রবার ছাড়া প্রতিদিনই চলে।
ham,0,চলো আমরা সবাই বিমানবাহিনী জাদুঘরে যাই।
ham,0,আচ্ছা ঠিক আছে।
ham,0,"প্রিয় গ্রাহক, আপনাকে অরেঞ্জ ক্লাব GOLD স্ট্যাটাস এ আপডেট করা হয়েছে এবং আপনার বর্তমান কয়েন ব্যালেন্স 50000.0। বিস্তারিত জানতে ভিজিট করুন MyBL App (https://mybl.digital/orange_club) বা ডায়াল *১২১*৬#."
ham,0,"প্রিয় গ্রাহক, TK27USSD45MIN3D প্যাক কিনে আপনি 2027 কয়েন পেয়েছেন এবং আপনার বর্তমান কয়েন ব্যালেন্স  52,702 । বিস্তারিত জানতে ভিজিট করুন MyBL App (https://mybl.digital/orange_club) বা ডায়াল *১২১*৬#"
ham,0,এখন অরেঞ্জ ক্লাবে পয়েন্ট এর বদলে কয়েন অর্জন! প্রতি ১টাকা খরচে ১০০ কয়েন অর্জন হবে নির্দিষ্ট প্যাক ও প্যাকেজ রেটে। স্ট্যাটাস চেক ও কয়েন ব্যবহার করতে ডায়াল  *১২১*৬# বা ভিজিট https://mybl.digital/Vtcn
ham,0,"প্রিয় বাংলালিংক অরেঞ্জ ক্লাব মেম্বার, Rangs Electronics Limited এ ইলেকট্রনিক্স সামগ্ৰী কেনাকাটায় ৫% ছাড় পেতে ""BLRE"" লিখে পাঠিয়ে দিন ৫৬৭৮ নম্বরে অথবা ভিজিট MyBL অ্যাপ https://mybl.digital/App"
ham,0,"Electro Mart Limited-এ বাংলালিংক অরেঞ্জ ক্লাব গ্রাহকরা ইলেকট্রনিক্স পণ্যে পাচ্ছেন সর্বোচ্চ ১২% ছাড়। অফারটি পেতে ভিজিট MyBL অ্যাপ https://mybl.digital/Vtcn অথবা ""BLEM"" লিখে পাঠিয়ে দিন ৫৬৭৮ নম্বরে।"
ham,0,"Akash Digital TV-এ অরেঞ্জ ক্লাব গ্রাহক নতুন সংযোগে ৳৫০০ ছাড় ও স্ট্যান্ডার্ড প্যাক রিচার্জে  ৳১৫০ ক্যাশব্যাক পেতে ভিজিট MyBL অ্যাপ https://mybl.digital/Vtcn বা ""BLAKASH"" লিখে পাঠিয়ে দিন ৫৬৭৮-এ. "
ham,0,"Pickaboo থেকে অরেঞ্জ ক্লাব মেম্বাররা ১০০০০ টাকার কেনাকাটা করলেই পাচ্ছেন অতিরিক্ত ৳৫০০ ছাড় । অফারটি পেতে ""BLPKBOO"" লিখে পাঠিয়ে দিন ৫৬৭৮ নম্বরে বা ভিজিট MyBL অ্যাপ- https://mybl.digital/Vtcn"
ham,0,বাংলালিংক-এর নতুন গ্রাহক হওয়ার সময় আপনার অভিজ্ঞতা কেমন ছিল? অনুগ্রহ করে 0 (খুবই কঠিন) থেকে 10 (খুবই সহজ) পর্যন্ত যে কোন একটি সংখ্যা লিখে ফ্রি এসএমএস করুন 27898 নম্বরে।
spam ,1,অভিনন্দন আপনি চাকরির জন্য নির্বাচিত হয়েছেন বিস্তারিত জানতে আমাদের সাথে যোগাযোগ করুন
ham,0,আজকে শুধুমাত্র একটি ক্লাস হবে।
ham,0,আচ্ছা ঠিক আছে
ham,0,"প্রিয় গ্রাহক, বাংলালিংক অফার সম্পর্কে আপনার মূল্যবান মতামত জানাতে ভিজিট করুন নিচের লিংক-এ: https://surveytel.net/survey_participation/95365ed5c8c33073"
ham,0,"আজই শেষ দিন! ১০০মিনিট ৭০টাকা মেয়াদ ৭দিন, ডায়াল করুন *১২১*৫৪৪০#"
ham,0,"পবিত্র মাহে রমজান উপলক্ষে বাংলালিংক-এ পাচ্ছেন দারুণ সব অফার!
১জিবি-৭দিন-৪৯টাকা;
২জিবি-৭দিন-৬৯টাকা;
৩জিবি-৭দিন-৯৯টাকা;
পেতে ডায়াল *৮৮৮# বা ভিজিট- https://mybl.digital/spWd"
ham,0,"সেহরি এবং ইফতারে নিরাপদ ও সুষম খাদ্য গ্রহণ করুন। অস্বাস্থ্যকর, অতিরিক্ত ভাজা-পোড়া ও অননুমোদিত রং মিশ্রিত খাদ্য পরিহার করুন। বাংলাদেশ নিরাপদ খাদ্য কর্তৃপক্ষ, খাদ্য মন্ত্রণালয়।"
ham,0,‘জাতীয় দুর্যোগ প্রস্তুতি দিবস-২০২৪’এর প্রতিপাদ্য
ham,0,“দুর্যোগ প্রস্তুতিতে লড়বো
ham,0,স্মার্ট সোনার বাংলা গড়বো”
ham,0,-দুর্যোগ ব্যবস্থাপনা ও ত্রাণ মন্ত্রণালয়
ham,0,"মাধ্যমিক ও উচ্চ শিক্ষা বিভাগের বিশেষ আর্থিক অনুদানের আবেদন গ্রহণ শুরু হয়েছে। শিক্ষার্থী, শিক্ষক-কর্মচারী ও শিক্ষা প্রতিষ্ঠানের জন্য আবেদন করতে ভিজিট করুন mygov.bd"
ham,0,"“সর্বজনীন পেনশন স্কিমের ‘প্রবাস’, ‘প্রগতি’, ‘সুরক্ষা’ ও ‘সমতা’ স্কিম থেকে আপনারটি বেছে নিন” -জাতীয় পেনশন কর্তৃপক্ষ।"
ham,0,"‘১৪-১৭ ফেব্রুয়ারি ২০২৪ পর্যন্ত শেখ হাসিনা পার্বত্য চট্টগ্রাম ঐতিহ্য সংরক্ষণ ও গবেষণা কেন্দ্র, বেইলি রোড, ঢাকায় পার্বত্য মেলা অনুষ্ঠিত হবে। আপনারা সবাই আমন্ত্রিত। পার্বত্য চট্টগ্রাম বিষয়ক মন্ত্রণালয়।’"
ham,0,“বাংলাদেশ জাতীয় আরকাইভস দেশের কেন্দ্রীয় রেকর্ড সংরক্ষণাগার। ২৫ বছরের স্থায়ী মূল্যসম্পন্ন নথিপত্র/রেকর্ডপত্র স্থায়ী সংরক্ষণের জন্য জাতীয় আরকাইভসে প্রেরণ করুন এবং জাতীয় আরকাইভসকে সমৃদ্ধ করুন।”
ham,0,"“আপনার জীবন, স্বাস্থ্য ও সম্পদের অনাকাঙ্খিত/দুর্ঘটনাজনিত ক্ষতি লাঘবের ব্যবস্থা হলো বীমা। বীমা করুন, ঝুঁকিমুক্ত থাকুন-আইডিআরএ”"
ham,0,"“বাংলা ইশারা ভাষার প্রসার করি
স্মার্ট বাংলাদেশ গড়ে তুলি”"
ham,0,"“স্বাস্থ্য, পুষ্টি ও সমৃদ্ধি চাই, নিরাপদ খাদ্যের বিকল্প নাই”। ০২ ফেব্রুয়ারি জাতীয় নিরাপদ খাদ্য দিবস ২০২৪ সফল হোক। বাংলাদেশ নিরাপদ খাদ্য কর্তৃপক্ষ, খাদ্য মন্ত্রণালয়।"
spam ,1,আমাদের সাথে যোগাযোগ করে আপনি পেতে পারেন সেরা ইন্টারনেট অফার
spam,1,আর মাত্র ৩ দিন বাকি! ৩০০০+ ডিজাইনে ২০-৬০% ছাড় পেতে চলে আসুন এখনই।*T&C
ham,0,টাকা 200 রিচার্জ সফল হয়েছে। বিক্রেতা: 1986684446। ব্যালেন্স চেক করতে ডায়াল *১২১*১# সেরা অফার পেতে ডায়াল *৮৮৮# বা ভিসিট MyBL অ্যাপ: https://mybl.digital/App
ham,0,"BiP মেসেঞ্জার-এ HD অডিও ও ভিডিও কল করে প্রিয়জনদের কাছে থাকুন সবসময় সবখানে! সাথে আছে HD ফটো শেয়ারিং, ১০০টিরও বেশি ভাষায় মেসেজ ট্রান্সলেশনসহ দারুন সব ফিচার! এবার Just BiP করো: https://cutt.ly/hwvVwnw8"
spam,1,আমাদের সাইট থেকে আপনি পাচ্ছেন youtube প্রিমিয়াম একদম ফ্রি
spam,1,লগইন করে দিতে নিন ২ জিবি ইন্টারনেট
ham,0,ইজি ফ্যাশনের ঈদ কালেকশন এখন সকল শাখায়। www.easyfashion.com.bd
ham,0,চরকি  সাবস্ক্রাইব করার জন্য আপনাকে ধন্যবাদ! কোডটি ব্যবহার করে  পান্ডা প্রো তে 20% ডিসকাউন্ট উপভোগ করুন:chorkivppq7w বিস্তারিত জানার জন্য ওয়েবসাইট ভিজিট করুন।
ham,0,আড়ংয়ের ঈদ কালেকশন এখন সকল আউটলেটে। এখনই কিনতে: aarong.com
spam,1,লটারির মাধ্যমে জিতে নিন ঈদের ট্রেনের টিকেট।
ham,0,৫ মিনিটে দারাজ অ্যাকাউন্ট যাচাই করুন 995311 কোডের মাধ্যমে mPcFR+1AXam
ham,0,আপনি পেয়েছেন ২ হাজার টাকা বোনাস।
ham,0,বাসায় আসার পরে কল দিও।
ham,0,আচ্ছা ঠিক আছে।
ham,0,স্পেশাল অফারের শেষ দিন! ১৪৩০এমবি ২৪টাকা ৩দিন(সর্বোচ্চ ১ বার)। ডায়াল *১২১*৫০০৫# বা https://mygp.li/t4
ham,0,ভালোবাসা দিবসের সেরা অফার! ১৪৩০এমবি ২৪টাকা ৩দিন(সর্বোচ্চ ১ বার)। ডায়াল *১২১*৫০০৫# বা https://mygp.li/t4
ham,0,শুধু আজকের অফার! ৪০জিবি (বোনাসসহ) ৫০০টাকা ৩০দিন।ডায়াল *১২১*৫০৪৯# বা mygp.li/mo
ham,0,"১৪-১৭ ফেব্রুয়ারি ২০২৪ পর্যন্ত শেখ হাসিনা পার্বত্য চট্টগ্রাম ঐতিহ্য সংরক্ষণ ও গবেষণা কেন্দ্র, বেইলি রোড, ঢাকায় পার্বত্য মেলা অনুষ্ঠিত হবে। আপনারা সবাই আমন্ত্রিত। পার্বত্য চট্টগ্রাম বিষয়ক মন্ত্রণালয়।’"
ham,0,বাংলাদেশ সেনাবাহিনীর ৮৩তম ডিএসএসসি (এএমসি) এবং ৬৯তম ডিএসএসসি (এডিসি) কোর্সে অফিসার পদে যোগদানের জন্য আবেদন আহবান করা হয়েছে। বিস্তারিতঃ https://joinbangladesharmy.army.mil.bd
ham,0,"ভোটদানে বাধা, কেন্দ্র হতে এজেন্টকে বের করে দেয়া দণ্ডনীয়"
ham,0,"অপরাধ, এ সকল অপরাধ করা থেকে বিরত থাকুন"
ham,0,- বাংলাদেশ নির্বাচন কমিশন
ham,0,ঈদে বাড়িতে আসবা কবে।
ham,0,এবার ঈদে মনে হয় বাড়িতে আসা হবে না।
spam,1,"৳৯৯+অর্ডারে গিফট!	
কোডঃ 4V	
ডিম৳১৩৯	
চাল৳৬১	
তেল৳৮৯৫	
T&C	
chdl.co/MSBzirsV	"
spam,1,"ফ্লোর ক্লিনার ১লিঃ৳১৪৯	
মাসের বাজারে ছাড়	
কোড:CD2	
T&C	
chdl.co/pukKKgMF	"
spam,1,"ডিলে জাতীয় পতাকা৳৭১	
নগদ-এ ৳৭৫ক্যাশব্যাক	
গিফট কোডঃBD	
Chaldal.com/Free	"
spam,1,"সাশ্রয়ে ৩৪% পযর্ন্ত ছাড়ে	
ডায়াপার চালডাল-এ	
T&C*	
chdl.co/mhOqX0K	"
spam,1,আপনি 300 টাকা পেয়েছেন মেসেজ ওপশন এ গিয়ে লিখুন START NMZRR send 21213
spam,1,বাংলা ও ইংলিশ মিডিয়ামের অভিজ্ঞ টিউটর খুঁজছেন?Tuition Aid 01601645145				
spam,1,"আকর্ষণীয় ১৫% ছাড়* ৳১০০ পর্যন্ত! উপায় অ্যাপ দিয়ে বিডিটিকেটস এর পেমেন্ট করলেই নিশ্চিত ছাড়, সর্বোচ্চ ৳৩০০ প্রতি কাস্টমার।                                                        "
spam,1,"কোড: upay15		
ক্লিক করুনঃ onelink.to/j7rwyf		
বিস্তারিত জানতে কল করুনঃ ১৬৪৬০		
*শর্ত প্রযোজ্য		"
spam,1,Pureit RO ক্রয়ে ৩০০০ টাকা পর্যন্ত ছাড়! এছাড়াও থাকছে না কিনেই ১৫ দিনের ফ্রি ট্রায়াল অফার! কল করুন ১৬৬২৭ এ। শর্ত প্রযোজ্য**
spam,1,"আকর্ষণীয় ১৫% ছাড়* ৳১০০ পর্যন্ত! উপায় অ্যাপ দিয়ে বিডিটিকেটস এর পেমেন্ট করলেই নিশ্চিত ছাড়, সর্বোচ্চ ৳৩০০ প্রতি কাস্টমার।                                                        					"
spam,1,আরিফিন শুভ অভিনীত ভালো থেকো দেখুন  রবি স্ক্রিনে: cutt.ly/LlBFSZk
spam,1,"প্রতিদিনের ভাগ্য রাশিফল পেতে টিয়া পাখির কথা না শুনে *26397*6#  ডায়াল করে জেনেনিন আপনার রাশি,  চার্জ ৳২.৬৭ দৈনিক"
spam,1,এয়ারটেলে আপনার জন্য সেরা সব অফার পেতে *4# বা *123*3# ডায়াল করুন আজই।
spam,1,"VIP cabin 3000tk , যোগাযোগ করুন আমাদের ফেসবুক পেইজ এ, NUM : ০১৪৬৯৯২"
ham,0,"ভাই, আপাতত দুইটার রেফারি হিসেবে জীবন তেজপাতা।"
spam,1,ইমরান ও ন্যান্সির এক পৃথিবী প্রেম ৭দিনের জন্য গুন্গুন্ সেট ক
spam,1,ফ্লোর ক্লিনার ১লিঃ৳১৪৯মাসের বাজারে ছাড় কোড:CD2 T&C chdl.co/pukKKgMF
spam,1,মোবাইল ব্যালেন্সে আনলিমিটেড সিনেমা দেখতে Subscribe: https://robi.epicon.in
spam,1,ডিলে জাতীয় পতাকা৳৭১ নগদ-এ ৳৭৫ক্যাশব্যাক গিফট কোডঃBD Chaldal.com/Free
spam,1,আমাদের প্রিয় নবী মুহাম্মাদ (সা.) কীভাবে পবিত্র জুম্মার দিনটি কাটাতেন জানতে ডায়াল করুন *213*14746# চার্জ ২.৬৭ টাকা/দিন।
ham,0,দিয়ে যা। বেকার আছি
spam,1,সাথেই থাকুন। *1122*10# ডায়েল করে পেয়ে যান 10 টাকা ব্যালেন্স ! ভ্যাট এবং সার্ভিস চার্জ প্রযোজ্য!
spam,1,"সুলতান'স ডাইনে ৩০% ডিস্কাউন্ট লুফে নিন এই মেসেজটি দেখিয়ে আগামী তিনদিনের মধ্যে, কমপক্ষে ৫০০ টাকার অর্ডারে টেকএওয়ে কিংবা ডাইনইনে। বিস্তারিতঃ 01407059983"
ham,0,আপু আমার মেয়ে আজকে শরীর খারাপ...  আমি কালকে যাবো
spam,1,"হেলথ্কেয়ার ফার্মাসিউটিক্যালস লিমিটেড এর অঙ্গপ্রতিষ্ঠান ‘শিলাইদহ ডেইরী’ আপনার প্রয়োজন পূরণ ও সুস্বাস্থ্য নিশ্চিত করতে বাজারে এনেছে খাঁটি দুধের ক্রীম থেকে তৈরি আল্ট্রা বাটার। পণ্য বাছাই এর সময় তাই পরিবারের জন্য হেলদি ও টেস্টি খাবার নিশ্চিত করুন স্বাদ ও মানে অনন্য আল্ট্রা বাটারের সাথে। আল্ট্রা বাটার - লেটস্ টেস্ট দ্যা বেস্ট।

আমাদের সম্পর্কে বিস্তারিত জানতে কিংবা অর্ডার করতে ভিজিট করুন- আল্ট্রা’র ফেসবুক পেজঃ https://cutt.ly/iEW25U8 ওয়েবসাইটঃ https://cutt.ly/JEW9fQl অথবা কল করুন ০১৮৪৪২৪৫২০৬ এই নম্বরে।"
spam,1,করোনা ভাইরাস থেকে বাঁচতে নানা টিপস পেতে ডায়াল করুন *213*14002# চার্জ ২.৬৭/দিন
spam,1,নেট এমবি থাক  বা  না থাক sms টা  সবাই কে পাঠাবেন কারণ আজ   প্রিও নবির  জন্মের  রাত
spam,1,"কুরআন পাকের ১৪৪১ বছর হয়ে গেছে ।  New Year   তো অনেক এই sms করেন দেখা যাক কুরআন পাকের  মুবারক কতজন  কে জানান"""
spam,1,ঈদ কবে হচ্ছে জানতে ডায়াল করুন
spam,1,"২২ মার্চ ২০২৩ বিশ্ব পানি দিবস, এবারের প্রতিপাদ্য বিষয় “পানি ও স্যানিটেশন সংকট সমাধানে ত্বরান্বিত পরিবর্তন’’-পানি সম্পদ মন্ত্রণালয়।"
spam,1,"মাত্র ৫০০ টাকায় ইংরেজি কোর্স করতে ক্লিক করুন
 http://bit.ly/3IVA0tu"
spam,1,"২২ মার্চ ২০২৩ বিশ্ব পানি দিবস, এবারের প্রতিপাদ্য বিষয় “পানি ও স্যানিটেশন সংকট সমাধানে ত্বরান্বিত পরিবর্তন’’-পানি সম্পদ মন্ত্রণালয়।"
spam,1,*213*2843# ডায়াল করে জানুন সেলস/মার্কেটিং চাকুরীর খবর ২.৬৭ টাকা/দিন
spam,1,*213*22718# ডায়াল করে জানুন সরকারি চাকুরীর খবর ২.৬৭ টাকা/দিন
spam,1,প্রেম করা কেন গুনাহ জানতে ডায়াল করুন
spam,1,"স্পেশাল অফার ১০জিবি(বোনাসসহ)১৩০টাকা ৩০দিন।ডায়াল *১২১*৫৪৬৯#, mygp.li/mo"
spam,1,শুধুমাত্র একটি ফোনের প্রয়োজন প্রতিদিন 1000TK আয় wa.me/8801797890449
spam,1,"‘জাতীয় দুর্যোগ প্রস্তুতি দিবস-২০২৩’ এর প্রতিপাদ্য
“স্মার্ট বাংলাদেশের প্রত্যয়
দুর্যোগ প্রস্তুতি সবসময়”
- দুর্যোগ ব্যবস্থাপনা ও ত্রাণ মন্ত্রণালয়"
spam,1,"স্মার্টফোন জেতার দুর্দান্ত অফার! সহজ প্রশ্নের উত্তর দিয়ে জিতে নিন ৩০,৯৯৯ টাকার আকর্ষণীয় স্মার্টফোন Samsung Galaxy M33 5G মাত্র ৳২.৬৭/দিন/প্রশ্ন,  ডায়াল *213*45644#"
spam,1,মজার এবং হাসির SMS জোকস পেতে ডায়াল করুন *213*4493#
spam,1,"স্মার্টফোন জেতার দুর্দান্ত অফার! সহজ প্রশ্নের উত্তর দিয়ে জিতে নিন ৩০,৯৯৯ টাকার আকর্ষণীয় স্মার্টফোন Samsung Galaxy M33 5G "
spam,1,মাইজিপি রেফার করে ৫১২এমবি ফ্রি ইন্টারনেট জিততে https://mygp.li/r2
spam,1,খণ্ডকালীন জব৷বেতন 1500 BDT/দিন৷ঘরে বসে কাজ :wa.me/8801768702573
spam,1,"ঘরে বসে রোজার বাজার
ডিস্কাউন্টকোড:RD2
গিফটকোড:6W
T&C
chdl.co/tt8tj8-7"
spam,1,পরপর দুটি জমজমাট ম্যাচ কি মিস করছেন? Binge-এর সাথে PSL-এ দেখুন Peshawar vs. Lahore দুপুর ৩টা  আর Islamabad vs. Multan এর ম্যাচ রাত ৮টায়  Sony Sports 5 HD-তে। ক্লিক- cutt.ly/T8UrmSh
spam,1,ফ্রি ২০০এমবি ইন্টারনেট নিতে আজই মাইজিপি অ্যাপে আসুন। ক্লিক: mygp.li/f1
spam,1,"ঘরে বসে রোজার বাজার
ডিস্কাউন্টকোড:RD2
গিফটকোড:6W
T&C
chdl.co/z5e57e66"
spam,1,"লুফে নিন পিওরইট RO ২৫০০৳ ছাড়ে, রেফারেই উপহার! বিস্তারিত/অপ্টআউট ১৬৬২৭*"
spam,1,"ইনশআল্লাহ A+ নিশ্চয়তায় ভর্তি চলছে
01760192958
bit.ly/3kh9CGC"
